Performance,Video_URL
1.329070515,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-893539262677484
0.2476234641,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-893173505441981
1.620547048,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-892383375224287
0.5380805199,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-891684945300160
1.150096683,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-891661008828094
0.01353724351,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-891391212618023
0.7373135383,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-890166872024685
0.8494981512,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-890005255637433
0.4069988706,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-889728479746704
0.5396000475,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-889604775414234
1.54950026,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-889375178765113
1.445036029,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-888593019388197
1.052016533,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-888183703182855
0.3857433151,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-888062106715252
1.30047543,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-888056015719840
0.02636779281,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-887363366529815
0.3283003956,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-886609482926268
1.7414921,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-886049645973007
0.1735044067,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-885689066019680
0.7904615841,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-885670366433640
0.9805242403,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-885209946993560
0.6441088432,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-883738210384679
1.482611118,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-883246492824014
1.413658685,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-882993126248062
0.2621187338,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8828692983838031
0.9940869768,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-882867522830120
1.600494618,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-882019143545185
0.08635205247,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-881925359723909
0.5911351424,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8816515918390519
1.569465248,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-881342303358042
0.1435745597,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-881270063889884
0.3967084342,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8806609246079208
1.106942398,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-880568190186256
